ZONE_,STATION,LINE,TYPE,STATE,KEY_,LABEL,LAT,LONG
2,Prospect Park,Wilmington/Newark Line,SEPTA Regional Rail,PA,SR2PPK,Prospect Park,39.88803549010,-75.30937267700
2,Norwood,Wilmington/Newark Line,SEPTA Regional Rail,PA,SR2NWD,Norwood,39.89127803250,-75.30221246810
2,Glenolden,Wilmington/Newark Line,SEPTA Regional Rail,PA,SR2GLN,Glenolden,39.89629293090,-75.29019749910
2,Gladstone,Media/Elwyn Line,SEPTA Regional Rail,PA,SR3GSN,Gladstone,39.93268838910,-75.28210048380
2,Lansdowne,Media/Elwyn Line,SEPTA Regional Rail,PA,SR3LDN,Lansdowne,39.93724687940,-75.27140490080
2,Fernwood - Yeadon,Media/Elwyn Line,SEPTA Regional Rail,PA,SR3FYN,Fernwood - Yeadon,39.93961074390,-75.25573824610
na,Garretford,Route 102 Trolley,Surface Trolley,PA,S02GAR,Garretford,39.94405801300,-75.29582265570
4,North Wales,Lansdale/Doylestown Line,SEPTA Regional Rail,PA,SR5NWL,North Wales,40.21433462760,-75.27732797220
4,Gwynedd Valley,Lansdale/Doylestown Line,SEPTA Regional Rail,PA,SR5GVY,Gwynedd Valley,40.18485158000,-75.25688919330
4,Penllyn,Lansdale/Doylestown Line,SEPTA Regional Rail,PA,SR5PNL,Penllyn,40.16967236790,-75.24401047150
3,Ambler,Lansdale/Doylestown Line,SEPTA Regional Rail,PA,SR5AMB,Ambler,40.15369728970,-75.22485212780
3,Fort Washington,Lansdale/Doylestown Line,SEPTA Regional Rail,PA,SR5FWN,Fort Washington,40.13580327520,-75.21252708450
3,Oreland,Lansdale/Doylestown Line,SEPTA Regional Rail,PA,SR5ORE,Oreland,40.11855788490,-75.18462877240
3,North Hills,Lansdale/Doylestown Line,SEPTA Regional Rail,PA,SR5NHL,North Hills,40.11207362470,-75.16960839710
3,Glenside,SEPTA Main Line,SEPTA Regional Rail,PA,SR1GSD,Glenside,40.10129841500,-75.15376395220
3,Jenkintown - Wyncote,SEPTA Main Line,SEPTA Regional Rail,PA,SR1JWT,Jenkintown - Wyncote,40.09344768240,-75.13791804530
2,Elkins Park,SEPTA Main Line,SEPTA Regional Rail,PA,SR1ELK,Elkins Park,40.07121467320,-75.12775301820
2,Melrose Park,SEPTA Main Line,SEPTA Regional Rail,PA,SR1MPK,Melrose Park,40.05947387390,-75.12913470410
4,Hatboro,Warminster Line,SEPTA Regional Rail,PA,SR2HAT,Hatboro,40.17630720920,-75.10269951440
3,Willow Grove,Warminster Line,SEPTA Regional Rail,PA,SR2WGV,Willow Grove,40.14374635870,-75.11440734990
3,Crestmont,Warminster Line,SEPTA Regional Rail,PA,SR2CTT,Crestmont,40.13333360050,-75.11872827740
3,Roslyn,Warminster Line,SEPTA Regional Rail,PA,SR2RLN,Roslyn,40.12095109720,-75.13416968690
3,Ardsley,Warminster Line,SEPTA Regional Rail,PA,SR2ARY,Ardsley,40.11453969460,-75.15298222230
3,Noble,West Trenton Line,SEPTA Regional Rail,PA,SR3NBL,Noble,40.10435615070,-75.12450372510
3,Rydal,West Trenton Line,SEPTA Regional Rail,PA,SR3RDL,Rydal,40.10742081150,-75.11066645830
3,Meadowbrook,West Trenton Line,SEPTA Regional Rail,PA,SR3MBK,Meadowbrook,40.11137063500,-75.09251482020
3,Bethayres,West Trenton Line,SEPTA Regional Rail,PA,SR3BTH,Bethayres,40.11652677890,-75.06872078610
3,Philmont,West Trenton Line,SEPTA Regional Rail,PA,SR3PLM,Philmont,40.12190028050,-75.04379407400
2,Miquon,Manayunk/Norristown Line,SEPTA Regional Rail,PA,SR6MQN,Miquon,40.05858374320,-75.26631604000
3,Spring Mill,Manayunk/Norristown Line,SEPTA Regional Rail,PA,SR6SML,Spring Mill,40.07417323780,-75.28606117070
